元の表記,状態,みんトレ表記,apparel_id,出どころ,件数,候補,理由
"PT交換専用カード 225,000PT",対象外,,,管理画面,1,,ポイント交換・演出（発送しない）
PT交換専用カード 2PT,対象外,,,管理画面,1,,ポイント交換・演出（発送しない）
PT交換専用カード 380PT,対象外,,,管理画面,1,,ポイント交換・演出（発送しない）
"PT交換専用カード 40,000PT",対象外,,,管理画面,1,,ポイント交換・演出（発送しない）
"PT交換専用カード 45,000PT",対象外,,,管理画面,1,,ポイント交換・演出（発送しない）
PT交換専用カード 50PT,対象外,,,管理画面,1,,ポイント交換・演出（発送しない）
"PT交換専用カード 52,000PT",対象外,,,管理画面,1,,ポイント交換・演出（発送しない）
PT交換専用カード 700PT,対象外,,,管理画面,1,,ポイント交換・演出（発送しない）
"PT交換専用カード 73,000PT",対象外,,,管理画面,1,,ポイント交換・演出（発送しない）
"PT交換専用カード 8,800PT",対象外,,,管理画面,1,,ポイント交換・演出（発送しない）
PlayStation 5,要確認,PlayStation 5,,管理画面,1,,スニダン外の商品（mintore_non_snkr.csv）
[1BOX] ワンピースカードゲーム ブースターパック「蒼海の七傑」,確定,ワンピースカードゲーム ブースターパック「蒼海の七傑」 ボックス,725356,管理画面,1,725356:ワンピースカードゲーム ブースターパック「蒼海の七傑」 ボックス(3) || 730301:ドン!!カード: ジュラキュール・ミホーク スーパーパラレル (ブースターパック「蒼海の七傑」)(0) || 730300:ドン!!カード: ジュラキュール・ミホーク (ブースターパック「蒼海の七傑」)(0) || 725357:ワンピースカードゲーム ブースターパック「蒼海の七傑」パック(0),型番なし・名前で一致
[1BOX] ワンピースカードゲーム プレミアムブースター「ONE PIECE CARD THE BEST vol.2」,確定,ワンピースカードゲーム プレミアムブースター「ONE PIECE CARD THE BEST vol.2」ボックス,548907,管理画面,1,548907:ワンピースカードゲーム プレミアムブースター「ONE PIECE CARD THE BEST vol.2」ボックス(3) || 650017:ドン!!カード: しらほし パラレル (プレミアムブースター「ONE PIECE CARD THE BEST vol.2」)(0) || 650029:ドン!!カード: ナミ パラレル (プレミアムブースター「ONE PIECE CARD THE BEST vol.2」)(0) || 650054:ドン!!カード: マルコ スーパーパラレル (プレミアムブースター「ONE PIECE CARD THE BEST vol.2」)(0),型番なし・名前で一致
_のピカチュウ25th,確定,_のピカチュウ: プロモ (お誕生日ピカチュウ) [S8a-P 007/025],93015,管理画面,1,,人が選んだ（overrides）
_のピカチュウ: プロモ (お誕生日ピカチュウ),確定,_のピカチュウ: プロモ (お誕生日ピカチュウ) [S8a-P 007/025],93015,在庫管理・管理画面,1,93015:_のピカチュウ: プロモ (お誕生日ピカチュウ) [S8a-P 007/025](7) || 731192:_のピカチュウ: プロモ (お誕生日ピカチュウ) [S8a-P 007/025]【タイ語版】(4),型番なし・同名カードが1種類だけ
〔PSA10鑑定済〕ナギ【SR】{088/078} [その他],確定,【PSA10】ナギ SR [XY6 088/078],333628,管理画面,1,333628:ナギ SR [XY6 088/078](5) || 91519:ナギ SR: 1ED [XY6 088/078](4) || 91484:フーディンEX UR: 1ED [XY10 088/078](-4) || 110904:ガケガニ AR [SV1S 088/078](-5),
〔PSA10鑑定済〕リーリエ(SR仕様)【P】{397/SM-P} [その他],確定,【PSA10】リーリエ エクストラバトルの日2019年: プロモ [SM-P 397],93051,管理画面,1,93051:リーリエ エクストラバトルの日2019年: プロモ [SM-P 397](3),
〔※状態難/PSA10鑑定済〕アララギ博士【SR】{055/051} [※状態難/鑑定済カード],確定,【PSA10】【状態難】アララギ博士 SR [BW8-K 055/051],91590,管理画面,1,91590:アララギ博士 SR [BW8-K 055/051](5) || 368753:アララギ博士 SR: 1ED [BW8-K 055/051](4) || 105488:サーナイトGX SR [SM3N 055/051](-3) || 335034:オンバーンGX SR [SM3H 055/051](-3),
おいわいファンファーレ P [SV-P 174],確定,おいわいファンファーレ P [SV-P 174],342779,管理画面,1,342779:おいわいファンファーレ P [SV-P 174](5),
おいわいファンファーレ(306/S-P),確定,おいわいファンファーレ: プロモ P [S-P 306],289441,管理画面,1,289441:おいわいファンファーレ: プロモ P [S-P 306](4),
おナミ R [OP06-101](プロモーションカード「ONE PIECE CARD GAME 2nd ANNIVERSARY COMPLETE GUIDE」),確定,おナミ R [OP06-101](プロモーションカード「ONE PIECE CARD GAME 2nd ANNIVERSARY COMPLETE GUIDE」),297575,管理画面,1,297575:おナミ R [OP06-101](プロモーションカード「ONE PIECE CARD GAME 2nd ANNIVERSARY COMPLETE GUIDE」)(7) || 158386:おナミ R [OP06-101](ブースターパック 双璧の覇者)(5) || 158945:おナミ R-P [OP06-101](2) || 198742:おナミ R-SPC [OP06-101](2),
おナミ R-SPC [OP06-101],確定,おナミ R-SPC [OP06-101],198742,管理画面,1,198742:おナミ R-SPC [OP06-101](7) || 158386:おナミ R [OP06-101](ブースターパック 双璧の覇者)(1) || 158945:おナミ R-P [OP06-101](1) || 297575:おナミ R [OP06-101](プロモーションカード「ONE PIECE CARD GAME 2nd ANNIVERSARY COMPLETE GUIDE」)(1),
お茶会ごっこピカチュウ,確定,お茶会ごっこピカチュウ: プロモ [SM-P 325],91260,在庫管理・管理画面,1,91260:お茶会ごっこピカチュウ: プロモ [SM-P 325](5),型番なし・当たる商品が1つだけ
お茶会ごっこピカチュウ(325/SM-P),確定,お茶会ごっこピカチュウ: プロモ [SM-P 325],91260,管理画面,1,91260:お茶会ごっこピカチュウ: プロモ [SM-P 325](4),
かんこうきゃく,確定,かんこうきゃく SR [SM12a 192/173],91269,管理画面,1,,人が選んだ（overrides）
かんこうきゃく [192/173],確定,かんこうきゃく SR [SM12a 192/173],91269,管理画面,1,91269:かんこうきゃく SR [SM12a 192/173](4),
こくばバドレックスVMAX HR,確定,こくばバドレックスVMAX HR: SA [S6K 086/070],91182,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,1,91182:こくばバドレックスVMAX HR: SA [S6K 086/070](5),型番なし・当たる商品が1つだけ
しらほし SR-SPC [EB01-057],確定,しらほし SR-SPC [EB01-057],520532,管理画面,1,520532:しらほし SR-SPC [EB01-057](7) || 178710:しらほし SR [EB01-057](1) || 184356:しらほし SR-P [EB01-057](1) || 250219:しらほし SR [EB01-057]【英語版】(-2),
しらほし SR-SPC [EB01-057](ブースターパック「神速の拳」),確定,しらほし SR-SPC [EB01-057],520532,管理画面,1,520532:しらほし SR-SPC [EB01-057](9) || 178710:しらほし SR [EB01-057](1) || 184356:しらほし SR-P [EB01-057](1) || 250219:しらほし SR [EB01-057]【英語版】(-2),
そらをとぶピカチュウV(023/028),確定,そらをとぶピカチュウV RR [s8a 023/028],141445,管理画面,1,141445:そらをとぶピカチュウV RR [s8a 023/028](4) || 326945:メタルソーサー [SJ 023/028](-4),
たしぎ SR-SPC [EB03-018](エクストラブースター「ワンピース ヒロインズエディション」),確定,たしぎ SR-SPC [EB03-018],710428,管理画面,1,710428:たしぎ SR-SPC [EB03-018](9) || 767901:たしぎ SR-SPC [EB03-018]【英語版】(4) || 713682:たしぎ SR [EB03-018](3) || 714613:たしぎ SR-P [EB03-018](3),
なにかのAR.HR,確定,なにかのAR.HR,,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,1,,なにかの〜・福袋（書き方の決まりで揃えた）
"なにかのPSA10 11,000PT",確定,"なにかのPSA10 11,000PT",,管理画面,1,,なにかの〜・福袋（書き方の決まりで揃えた）
"なにかのPSA10 30,000PT",確定,"なにかのPSA10 30,000PT",,管理画面,1,,なにかの〜・福袋（書き方の決まりで揃えた）
"なにかのPSA10 35,000PT",確定,"なにかのPSA10 35,000PT",,管理画面,1,,なにかの〜・福袋（書き方の決まりで揃えた）
"なにかのPSA10 5,500PT",確定,"なにかのPSA10 5,500PT",,管理画面,1,,なにかの〜・福袋（書き方の決まりで揃えた）
なにかのパック×3,確定,なにかのパック×3,,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,1,,なにかの〜・福袋（書き方の決まりで揃えた）
なみのりピカチュウV(021/028),確定,なみのりピカチュウV RR [s8a 021/028],141443,管理画面,1,141443:なみのりピカチュウV RR [s8a 021/028](4) || 326943:ポケギア3.0 [SJ 021/028](-4),
はくばバドレックスVMAX(084/070 HR),確定,はくばバドレックスVMAX HR [S6H 084/070],96728,管理画面,1,96728:はくばバドレックスVMAX HR [S6H 084/070](5) || 96647:セレビィVMAX HR [S6K 084/070](-3) || 99572:いちげきウーラオスVMAX HR [S5I 084/070](-3) || 91188:れんげきウーラオスVMAX HR: SA [S5R 084/070](-5),
ひかるレックウザ,確定,ひかるレックウザ H [SM3+ 057/072],91334,管理画面,1,91334:ひかるレックウザ H [SM3+ 057/072](5),型番なし・当たる商品が1つだけ
わるいギャラドス005/025,確定,わるいギャラドス: プロモ [S8a-P 005/025],98533,管理画面,1,98533:わるいギャラドス: プロモ [S8a-P 005/025](4),
わるいサンダースNo.135旧裏,確定,わるいサンダース ◆: 旧裏 [PMCG4 No.135],456657,管理画面,1,,人が選んだ（overrides）
アイリス [082/076],要確認,,,管理画面,1,91575:アイリス SR [BW9 082/076](4) || 406760:アイリス SR: 1ED [BW9 082/076](4) || 145139:トゲキッスV SR [s3a 082/076](-4) || 868592:バチンウニ AR [M6 082/076](-4),候補2つが同点（版・収録違い）
アカネ(101/095 SR),確定,アカネ SR [SM8 101/095],104687,管理画面,1,104687:アカネ SR [SM8 101/095](5) || 339684:アーゴヨン&アクジキングGX SR [SM12 101/095](-3) || 91290:ピカチュウ&ゼクロムGX SR: SA [SM9 101/095](-5) || 104622:マーシャドー&カイリキーGX SR: SA [SM10 101/095](-5),
アセロラ SR[SM2+ 056/049],確定,アセロラ SR [SM2+ 056/049],91354,管理画面,1,91354:アセロラ SR [SM2+ 056/049](6) || 104566:ドガース CHR [SM11b 056/049](-7),
アセロラ(395/SM-P)[SR仕様],確定,アセロラ エクストラバトルの日2019年: プロモ [SM-P 395],93053,管理画面,1,93053:アセロラ エクストラバトルの日2019年: プロモ [SM-P 395](2),
アセロラのいたずら【SAR】{090/063} [M1S],確定,アセロラのいたずら SAR [M1S 090/063],663641,管理画面,1,663641:アセロラのいたずら SAR [M1S 090/063](7) || 664110:マチスの取引 SAR [M1L 090/063](-6) || 546118:ヒビキのホウオウex UR [SV9a 090/063](-8),
アルセウス&ディアルガ&パルキアGX SR: SA (三神) [100/095],確定,アルセウス&ディアルガ&パルキアGX SR: SA (三神) [SM12 100/095],91274,管理画面,1,91274:アルセウス&ディアルガ&パルキアGX SR: SA (三神) [SM12 100/095](2) || 104644:ルギアGX SR [SM8 100/095](-4) || 129023:ピカチュウ&ゼクロムGX SR [SM9 100/095](-4) || 393043:マーシャドー&カイリキーGX SR [SM10 100/095](-4),
アルセウス&ディアルガ&パルキアGX(099/095 SR),確定,アルセウス&ディアルガ&パルキアGX SR [SM12 099/095],104561,管理画面,1,104561:アルセウス&ディアルガ&パルキアGX SR [SM12 099/095](5) || 124585:バンギラスGX SR [SM8 099/095](-3) || 335165:バンギラスGX SR [SM8 099/095](-3) || 91292:コイキング&ホエルオーGX SR [SM9 099/095](-5),
アルセウスVSTAR(262/172 UR),確定,アルセウスVSTAR UR [s12a 262/172],105530,管理画面,1,105530:アルセウスVSTAR UR [s12a 262/172](3),
アローラの仲間たち [401],確定,アローラの仲間たち: プロモ [SM-P 401],93046,管理画面,1,93046:アローラの仲間たち: プロモ [SM-P 401](5),型番なし・当たる商品が1つだけ
アーマードミュウツー(365/SM-P),確定,アーマードミュウツー: プロモ (開封済) [SM-P 365],107574,管理画面,1,107574:アーマードミュウツー: プロモ (開封済) [SM-P 365](4),
イッカネズミ(081/071 AR),確定,イッカネズミ AR [SV2D 081/071],117192,管理画面,1,117192:イッカネズミ AR [SV2D 081/071](5) || 120830:ミミズズ AR [SV2P 081/071](-3) || 186429:ペラップ AR [SV5K 081/071](-3) || 186444:メルタン AR [SV5M 081/071](-3),
イルカマンex【SAR】{207/187} [SV8a],確定,イルカマンex SAR [SV8a 207/187],469031,管理画面,1,469031:イルカマンex SAR [SV8a 207/187](7),
インフェルノX,確定,ポケモンカードゲームMEGA 拡張パック「インフェルノX」ボックス,687430,仕入れ管理シートF列・管理画面,1,,人が選んだ（overrides）
イーブイ 210/184,確定,イーブイ CHR [s8b 210/184],126673,管理画面,1,126673:イーブイ CHR [s8b 210/184](4),
イーブイ&カビゴンGX(106/095 SR),確定,イーブイ&カビゴンGX SR [SM9 106/095],396402,管理画面,1,396402:イーブイ&カビゴンGX SR [SM9 106/095](5) || 91276:シロナ&カトレア SR [SM12 106/095](-3) || 104624:溶接工 SR [SM10 106/095](-3) || 93101:スイクンGX HR [SM8 106/095](-5),
イーブイ(062/SV-P),確定,イーブイ: プロモ [SV-P 062],122054,管理画面,1,122054:イーブイ: プロモ [SV-P 062](4),
イーブイ(078/066 AR),確定,イーブイ AR [SV5a 078/066],224086,管理画面,1,224086:イーブイ AR [SV5a 078/066](5) || 148933:テツノコウベ AR [SV4M 078/066](拡張パック「未来の一閃」) PARADOX RIFT(-3) || 152781:ドゴーム AR [SV4K 078/066](拡張パック「古代の咆哮」) PARADOX RIFT(-3) || 91306:フリーザーGX HR [SM6b 078/066](-5),
イーブイ(287/SM-P),確定,イーブイ ムンク展: プロモ [SM-P 287],100093,管理画面,1,100093:イーブイ ムンク展: プロモ [SM-P 287](2),
イーブイ(399/SM-P),確定,イーブイ P [SM-P 399],407876,管理画面,1,407876:イーブイ P [SM-P 399](4),
イーブイex SAR 224/187,確定,イーブイex SAR [SV8a 224/187],469630,管理画面,1,469630:イーブイex SAR [SV8a 224/187](5),
イーブイズセット【未開封BOX】{-} [未開封BOX],確定,ポケモンカードゲーム ソード & シールド 強化拡張パック イーブイヒーローズ イーブイズセット (イーブイセット),12884,管理画面,1,12884:ポケモンカードゲーム ソード & シールド 強化拡張パック イーブイヒーローズ イーブイズセット (イーブイセット)(2),型番なし・当たる商品が1つだけ
ウソップ R-P [OP01-004] (チャンピオンシップ ベスト32),確定,ウソップ R-P [OP01-004],102904,管理画面,1,102904:ウソップ R-P [OP01-004](7) || 562937:ウソップ R-P [OP01-004]【英語版】(4) || 142587:ウソップ R [OP01-004](ブースターパック ロマンスドーン)(1) || 255832:ウソップ R-P [OP01-004]【中国語版】(1),
ウタ R [OP09-002](プロモーションカード「フラッグシップバトル 優勝記念品」),確定,ウタ R [OP09-002](プロモーションカード「フラッグシップバトル 優勝記念品」),372848,管理画面,1,372848:ウタ R [OP09-002](プロモーションカード「フラッグシップバトル 優勝記念品」)(7) || 353100:ウタ R [OP09-002](ブースターパック「新たなる皇帝」)(5) || 406437:ウタ R [OP09-002](プロモーションカード「フラッグシップバトル 優勝記念品」) for Asia(4) || 353101:ウタ R-P [OP09-002](2),
ウタ SEC-SPC (和柄ウタ) [OP02-120],確定,ウタ SEC-SPC (和柄ウタ) [OP02-120],135445,管理画面,1,135445:ウタ SEC-SPC (和柄ウタ) [OP02-120](7) || 198704:ウタ SEC-SPC [OP02-120]【英語版】(4) || 102424:ウタ SEC [OP02-120](ブースターパック頂上決戦)(1) || 102449:ウタ SEC-P [OP02-120](1),
ウタ SEC-SPC (和柄ウタ) [OP02-120] (ブースターパック 新時代の主役),確定,ウタ SEC-SPC (和柄ウタ) [OP02-120],135445,管理画面,1,135445:ウタ SEC-SPC (和柄ウタ) [OP02-120](7) || 198704:ウタ SEC-SPC [OP02-120]【英語版】(4) || 102424:ウタ SEC [OP02-120](ブースターパック頂上決戦)(1) || 102449:ウタ SEC-P [OP02-120](1),
ウタ SR-SPC [EB03-003](エクストラブースター「ワンピース ヒロインズエディション」),確定,ウタ SR-SPC [EB03-003],710426,管理画面,1,710426:ウタ SR-SPC [EB03-003](9) || 767900:ウタ SR-SPC [EB03-003]【英語版】(4) || 713667:ウタ SR [EB03-003](3) || 714628:ウタ SR-P [EB03-003](3),
ウッウ,確定,ウッウ: プロモ [S-P 226],91119,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,1,,人が選んだ（overrides）
エリカの招待(206/165 SAR),確定,エリカの招待 SAR [SV2a 206/165],128122,管理画面,1,128122:エリカの招待 SAR [SV2a 206/165](5),
エーフィ ★ :1ED [046/092],確定,エーフィ ★: 1ED [e2 046/092],91777,管理画面,1,91777:エーフィ ★: 1ED [e2 046/092](6) || 91778:エーフィ ★ [e2 046/092](-4) || 449063:ドーミラー ●: 1ED [DP6 046/092](-5) || 449064:ドーミラー ● [DP6 046/092](-7),
エーフィ&デオキシスGX SR [SM12a 177/173],確定,エーフィ&デオキシスGX SR: SA [SM12a 177/173],91271,管理画面,1,91271:エーフィ&デオキシスGX SR: SA [SM12a 177/173](5),
エーフィ: プロモ [SV-P 066],確定,エーフィ: プロモ [SV-P 066],122058,管理画面,1,122058:エーフィ: プロモ [SV-P 066](5),
エーフィGX(124/SM-P),確定,エーフィGX: プロモ [SM-P 124],91221,管理画面,1,91221:エーフィGX: プロモ [SM-P 124](4),
エーフィVMAX: SA/,確定,エーフィVMAX: SA/プロモ [S-P 189],93004,管理画面,1,93004:エーフィVMAX: SA/プロモ [S-P 189](5),型番なし・当たる商品が1つだけ
エーフィVMAX: SA/ [189],確定,エーフィVMAX: SA/プロモ [S-P 189],93004,管理画面,1,93004:エーフィVMAX: SA/プロモ [S-P 189](5),型番なし・当たる商品が1つだけ
エーフィex【SAR】{211/187} [SV8a],確定,エーフィex SAR [SV8a 211/187],469628,管理画面,1,469628:エーフィex SAR [SV8a 211/187](7),
カイ 077/067,確定,カイ SR [S10P 077/067],91142,管理画面,1,91142:カイ SR [S10P 077/067](4) || 91168:サナ SR [S7R 077/067](-4) || 96736:セキ SR [S10D 077/067](-4) || 98651:キバナ SR [S7D 077/067](-4),
カイドウ [OP01-094],確定,カイドウ SR [OP01-094](ブースターパックロマンスドーン),103292,管理画面,1,103292:カイドウ SR [OP01-094](ブースターパックロマンスドーン)(4) || 138425:カイドウ SR [OP01-094](フラッグシップバトル 10月 優勝記念品)(4) || 94890:カイドウ SR-P [OP01-094](2) || 197914:カイドウ SR [OP01-094]【英語版】(ブースターパック「ロマンスドーン」)(1),再録と同点→初出の弾（手書きに収録の指定なし）
カイリキーV 073/067,確定,カイリキーV SR: SA [S10D 073/067],96744,管理画面,1,96744:カイリキーV SR: SA [S10D 073/067](4) || 96563:カイリューV SR [S7R 073/067](-4) || 126692:ホーホー CHR [s9a 073/067](-4) || 139584:バサギリV SR [s10P 073/067](-4),
カイリューEX(134/SV-P),確定,カイリューEX P [SV-P 134],172043,管理画面,1,172043:カイリューEX P [SV-P 134](4),
カイリューGX(062/053 HR),確定,カイリューGX HR [SM6a 062/053],91310,管理画面,1,91310:カイリューGX HR [SM6a 062/053](5),
カスミのおねがい,確定,カスミのおねがい SR [SM11 104/094],93094,管理画面,1,,人が選んだ（overrides）
カスミのラプラス【AR】{072/063} [SV9a],確定,カスミのラプラス AR [SV9a 072/063],546106,管理画面,1,546106:カスミのラプラス AR [SV9a 072/063](7) || 664116:ヌケニン AR [M1S 072/063](-6) || 664100:シルシュルー AR [M1L 072/063](-6),
カツラのリザードン R: 旧裏 [PMCG-G2 No.006],確定,カツラのリザードン R: 旧裏 [PMCG-G2 No.006],92141,管理画面,1,92141:カツラのリザードン R: 旧裏 [PMCG-G2 No.006](5),型番なし・当たる商品が1つだけ
カツラのリザードン R: 旧裏[PMCG-G2 No.006],確定,カツラのリザードン R: 旧裏 [PMCG-G2 No.006],92141,管理画面,1,92141:カツラのリザードン R: 旧裏 [PMCG-G2 No.006](5),型番なし・当たる商品が1つだけ
カトレア(080/070 SR),確定,カトレア SR [S6K 080/070],91181,管理画面,1,91181:カトレア SR [S6K 080/070](5) || 96710:アスナ SR [S6H 080/070](-3) || 98666:フヨウ SR [S5I 080/070](-3) || 122004:マスタード れんげきのかた SR [S5R 080/070](-3),
カナザワのピカチュウ: プロモ (マークなし) [147],確定,カナザワのピカチュウ: プロモ (マークなし) [S-P 147],91113,管理画面,1,91113:カナザワのピカチュウ: プロモ (マークなし) [S-P 147](7) || 364569:ポケモンカードゲーム カナザワのピカチュウ: プロモ (マークなし) ミロカロス&メッソン (プロモーションカード [S-P 147/ 145/S-P/146/S-P])未開封パック(0),型番なし・同名カードが1種類だけ
カヒリ 065/060,確定,カヒリ SR [SM7a 065/060],100077,管理画面,1,100077:カヒリ SR [SM7a 065/060](4) || 91364:スカル団のしたっぱ SR [SM1M 065/060](-4) || 106189:イリマ SR [SM1S 065/060](-4) || 113242:ザマゼンタV SR [S1H 065/060](-4),
カビゴン 181/165,確定,カビゴン AR [SV2a 181/165],128097,管理画面,1,128097:カビゴン AR [SV2a 181/165](4),
カビゴン(076/095 R),確定,カビゴン R [SM10 076/095],393022,管理画面,1,393022:カビゴン R [SM10 076/095](5) || 335143:ドデカバシ U [SM8 076/095](-5) || 339661:エテボース U [SM12 076/095](-5) || 396378:プテラ U [SM9 076/095](-5),
カプ・テテフGX: プロモ [S8a-P 025],確定,カプ・テテフGX: プロモ [S8a-P 025],286970,管理画面,1,286970:カプ・テテフGX: プロモ [S8a-P 025](5),
ガラルファイヤーV(078/070 SR),確定,ガラルファイヤーV SR: SA [S5a 078/070],91185,管理画面,1,91185:ガラルファイヤーV SR: SA [S5a 078/070](3) || 102284:ポケモンブリーダーの育成 SR [S2a 078/070](-3) || 126506:ヤロー SR [S1a 078/070](-3) || 141804:トルネロスV SR [s6H 078/070](-3),
キハダ(099/073 SAR),確定,キハダ SAR [SV1a 099/073],115238,管理画面,1,115238:キハダ SAR [SV1a 099/073](5),
キルリア(084/078 AR),確定,キルリア AR [SV1S 084/078],109866,管理画面,1,109866:キルリア AR [SV1S 084/078](5) || 109862:パチリス AR [SV1V 084/078](-3) || 91518:サザンドラEX SR: 1ED [XY6 084/078](-4) || 106709:MチルタリスEX SR: 1ED [XY10 084/078](-4),
ギャラドスごっこピカチュウ(151/XY-P),確定,ギャラドスごっこピカチュウ: プロモ [XY-P 151/XY-P],91391,管理画面,1,91391:ギャラドスごっこピカチュウ: プロモ [XY-P 151/XY-P](4),
ギラティナEX(057/081 RR),確定,ギラティナEX RR [XY7 057/081],385472,管理画面,1,385472:ギラティナEX RR [XY7 057/081](5) || 385471:ギラティナEX RR: 1ED [XY7 057/081](4) || 824234:イーユイ R [M5 057/081](-5),
ギラティナEX(091/131),確定,ギラティナEX [CP4 091/131],391113,管理画面,1,391113:ギラティナEX [CP4 091/131](4) || 401374:ゼルネアスGX [SMH 091/131](-4),
ギラティナV SR [111/100],確定,ギラティナV SR: SA [S11 111/100],93379,管理画面,1,93379:ギラティナV SR: SA [S11 111/100](3) || 91196:ルリナ SR [S4 111/100](-3) || 96572:アルセウスV SR [S9 111/100](-3) || 96578:ヨクバリスV SR: SA [S8 111/100](-5),
ギラティナVSTAR(261/172 UR),確定,ギラティナVSTAR UR [s12a 261/172],105536,管理画面,1,105536:ギラティナVSTAR UR [s12a 261/172](3),
クザン R-SP (コミパラ) [OP16-063],確定,クザン R-SP (コミパラ) [OP16-063],822600,管理画面,1,822600:クザン R-SP (コミパラ) [OP16-063](7) || 836325:クザン R-SP (コミパラ) [OP16-063]【英語版】(4) || 822599:クザン R-P [OP16-063](1) || 828132:クザン R [OP16-063](1),
クレイバースト(3パック),確定,ポケモンカードゲーム 拡張パック クレイバースト (クレバ) パック(スノーハザード&クレイバースト) ×3,116899,管理画面,1,,人が選んだ（overrides）
クワッス P M-P 019,確定,クワッス P [M-P 019],671485,管理画面,1,671485:クワッス P [M-P 019](5),
グレイシア 040/187,確定,グレイシア [SV8a 040/187],434887,管理画面,1,434887:グレイシア [SV8a 040/187](4) || 466318:グレイシア: モンスターボールミラー [SV8a 040/187](-1) || 471594:グレイシア: マスターボールミラー [SV8a 040/187](-1),
グレイシア [185/BW-P],確定,グレイシア P [BW-P 185/BW-P],91565,管理画面,1,91565:グレイシア P [BW-P 185/BW-P](4),
グレイシア(069/SV-P),確定,グレイシア: プロモ [SV-P 069],122061,管理画面,1,122061:グレイシア: プロモ [SV-P 069](4),
グレイシアGX（269/SM-P),確定,グレイシアGX: プロモ [SM-P 269],93049,管理画面,1,93049:グレイシアGX: プロモ [SM-P 269](4),
グレイシアVMAX HR [091/069],確定,グレイシアVMAX HR: SA [S6a 091/069],93024,管理画面,1,93024:グレイシアVMAX HR: SA [S6a 091/069](3),
グレイシアVMAX(091/069 HR)[SA],確定,グレイシアVMAX HR: SA [S6a 091/069],93024,管理画面,1,93024:グレイシアVMAX HR: SA [S6a 091/069](3),
グレイシアVSTAR(217/172 SAR),確定,グレイシアVSTAR SAR [s12a 217/172],103795,管理画面,1,103795:グレイシアVSTAR SAR [s12a 217/172](3),
グレイシアex【SAR】{206/187} [SV8a],確定,グレイシアex SAR [SV8a 206/187],455594,管理画面,1,455594:グレイシアex SAR [SV8a 206/187](7),
ゲッコウガ&ゾロアークGX SR,確定,ゲッコウガ&ゾロアークGX SR: SA [SM9a 059/055],104636,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,1,104636:ゲッコウガ&ゾロアークGX SR: SA [SM9a 059/055](5),型番なし・当たる商品が1つだけ
ゲッコウガ&ゾロアークGX(025/055 RR),確定,ゲッコウガ&ゾロアークGX RR [SM9a 025/055],393207,管理画面,1,393207:ゲッコウガ&ゾロアークGX RR [SM9a 025/055](5) || 431766:ライボルト ★: 1ED [ADV1 025/055](-4) || 431767:ライボルト ★ [ADV1 025/055](-4),
ゲンガー&ミミッキュGX(038/095 RR),確定,ゲンガー&ミミッキュGX RR [SM9 038/095],387059,管理画面,1,387059:ゲンガー&ミミッキュGX RR [SM9 038/095](5) || 335105:ネイティ C [SM8 038/095](-5) || 339623:コスモウム C [SM12 038/095](-5) || 392984:ムウマ C [SM10 038/095](-5),
ゲンガーVMAX [SGG 020/019],確定,ゲンガーVMAX: SA [SGG 020/019],91178,管理画面,1,91178:ゲンガーVMAX: SA [SGG 020/019](4) || 509405:マリィのモルペコ [SVOM 020/019](-4) || 866312:イーブイ AR仕様 [MEE 020/019](-4) || 866332:ゾロア AR仕様 [MEZ 020/019](-4),
ゲンガーVMAX(002/019),確定,ゲンガーVMAX [SGG 002/019],292565,管理画面,1,292565:ゲンガーVMAX [SGG 002/019](4) || 381349:ヨーギラス [XYG 002/019](-4) || 431222:ファウンスのキノガッサ [VS 002/019](-4) || 431505:ヤジロン: 1ED [ADV 002/019](-4),
コイキング(006/032),確定,コイキング [CLK 006/032],147484,管理画面,1,147484:コイキング [CLK 006/032](4) || 91495:ブースターEX RR: 1ED [CP3 006/032](-4) || 147482:ストライク [CLF 006/032](-4) || 147483:ブーバー [CLL 006/032](-4),
コイキングごっこピカチュウ [150/XY-P],確定,コイキングごっこピカチュウ: プロモ [XY-P 150/XY-P],91395,管理画面,1,91395:コイキングごっこピカチュウ: プロモ [XY-P 150/XY-P](4),
ココガラ(082/071 AR),確定,ココガラ AR [SV2P 082/071],120831,管理画面,1,120831:ココガラ AR [SV2P 082/071](5) || 117828:カラミンゴ AR [SV2D 082/071](-3) || 184101:チラーミィ AR [SV5K 082/071](-3) || 186445:ベロリンガ AR [SV5M 082/071](-3),
コダック 199/193,確定,コダック AR [M2a 199/193],729387,管理画面,1,729387:コダック AR [M2a 199/193](4),
コダック ムンク展: プロモ[286 SM-P],確定,コダック ムンク展: プロモ [286 SM-P],100091,管理画面,1,,人が選んだ（overrides）
コダック(175/165 AR),確定,コダック AR [SV2a 175/165],128091,管理画面,1,128091:コダック AR [SV2a 175/165](5),
コビー SR-SP (コミパラ) [EB04-044],確定,コビー SR-SP (コミパラ) [EB04-044],751303,管理画面,1,751303:コビー SR-SP (コミパラ) [EB04-044](7) || 778963:コビー SR-SP (コミパラ) [EB04-044]【英語版】(4) || 751304:コビー SR-P [EB04-044](1) || 755016:コビー SR [EB04-044](1),
